name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	Details	26	0.392284868998178	1.00616114836535	0.432017543859649	0.697634116937914	0	3879	HSPA2,HSPA7,DNAJB4,HSPA13,SELENOF,PTGES3,ERO1A,ST13,HSPA5,HSPA8,HSPA6,UGGT1,DNAJB5,DNAJC18
'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	Details	31	0.339788361632351	0.898611776424803	0.598623853211009	0.816201486095361	0	3879	HSPA2,HSPA7,DNAJB4,HSPA13,SELENOF,PTGES3,ERO1A,ST13,FKBP1A,HSPA5,HSPA8,HSPA6,UGGT1,DNAJB5,DNAJC18
10Q11 21Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250410%WP5352%HOMO SAPIENS	10Q11 21Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250410%WP5352%HOMO SAPIENS	Details	39	0.304321424632953	0.847787798166301	0.719907407407407	0.89035701072882	0	3111	NOG,ARHGAP22,HSF1,VSTM4,BAZ1B,NLRP3,ITCH,SMAD1
10Q22Q23 COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5402%HOMO SAPIENS	10Q22Q23 COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5402%HOMO SAPIENS	Details	34	0.331915360323214	0.909046291993932	0.592841163310962	0.810553392794581	0	1632	SNCG,SUSD2,TSPAN14,ADAM10,MMRN2,MAD2L2
11P11 2 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20250410%WP5348%HOMO SAPIENS	11P11 2 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20250410%WP5348%HOMO SAPIENS	Details	44	-0.270841073884395	-0.759464713264073	0.847863247863248	0.956575906293845	0	15271	SHH,B3GNT7,B4GAT1,SYT13,TP53I11
13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5406%HOMO SAPIENS	13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5406%HOMO SAPIENS	Details	24	0.381787046257399	0.956430521948573	0.507658643326039	0.758581880176661	0	2091	RTN4,TRAF3,SNTA1,TNFRSF19,SACS,SSPN
15Q11Q13 COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5407%HOMO SAPIENS	15Q11Q13 COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5407%HOMO SAPIENS	Details	34	-0.470842468962241	-1.2469137165451	0.14954954954955	0.405216399754761	0	15347	MTMR10,TJP3,MYZAP,CGN,HDAC1,NECAB3,CXADR,FAN1
15Q25 COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5408%HOMO SAPIENS	15Q25 COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5408%HOMO SAPIENS	Details	32	0.355575390774555	0.948728731460975	0.517401392111369	0.765509136588915	0	2367	AP3S1,NMB,RYR1,ALPK3,SHANK1,SPCS3,SHANK3,HTT,TENT4B
16P11 2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20250410%WP4950%HOMO SAPIENS	16P11 2 DISTAL DELETION SYNDROME%WIKIPATHWAYS_20250410%WP4950%HOMO SAPIENS	Details	22	-0.391393602990552	-0.938841913538453	0.549270072992701	0.791064915384708	0	15188	RAB4A,INSR,RABEP2,PLN,SH2B1,CD82
16P11 2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20250410%WP4949%HOMO SAPIENS	16P11 2 PROXIMAL DELETION SYNDROME%WIKIPATHWAYS_20250410%WP4949%HOMO SAPIENS	Details	52	-0.288771838646899	-0.825642139070859	0.770175438596491	0.918650810352762	0	14762	MAP2K6,MAPK3,CCT6B,UNC13B,GDPD3,KCTD13,PARP4,PRRT2,MAP2K3,PAXIP1,TBX6,PPP4R3B,MVP,TRAF6,ASPHD1,INO80E
16P13 11 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20250410%WP5502%HOMO SAPIENS	16P13 11 COPY NUMBER VARIATION SYNDROME %WIKIPATHWAYS_20250410%WP5502%HOMO SAPIENS	Details	26	0.320669915979089	0.822477837933736	0.714912280701754	0.89035701072882	0	3969	GATA3,PLAG1,CEP170,DCTN1,NDE1,ACTR10,PLK1,ABCC1,RAPGEF4
17P13 3 YWHAE COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5376%HOMO SAPIENS	17P13 3 YWHAE COPY NUMBER VARIATION%WIKIPATHWAYS_20250410%WP5376%HOMO SAPIENS	Details	15	0.37074241937776	0.843008209124993	0.699570815450644	0.882190269796646	0	2648	YWHAQ,YWHAG,DCTN1,DYNC1H1,YWHAZ
17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250410%WP5287%HOMO SAPIENS	17Q12 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250410%WP5287%HOMO SAPIENS	Details	54	-0.354490995715368	-1.01855843872958	0.421052631578947	0.690089145254326	0	15479	PPP1R1B,CISD3,PGAP3,DHRS11,ERBB2,MIEN1
1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%BIOCYC%PWY-6362	1D-<I>MYO< I>-INOSITOL HEXAKISPHOSPHATE BIOSYNTHESIS II (MAMMALIAN)%BIOCYC%PWY-6362	Details	15	-0.501128762764117	-1.0961883767201	0.375	0.667461560364465	0	15156	ITPKA,INPP5J,INPP5A,ITPK1,SYNJ2,INPP5K
1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250410%WP5345%HOMO SAPIENS	1P36 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20250410%WP5345%HOMO SAPIENS	Details	75	0.278870848434658	0.87076066625428	0.728571428571429	0.892589891131102	0	2895	MCM2,TGFB1,AGRN,GDE1,SKI,GRIK2,PEX10,MXRA8,INTS4,ARF6,GNB1,B3GALT6,PLCH2,SMAD2,FNDC10,MEPCE
